crop,modal_price,min_price,max_price,state,market,temperature,humidity,rainfall
Tomato,1800.0,1600.0,2000.0,Rajasthan,Sriganganagar (F&V) APMC,24.4,94,0.0
Tomato,2650.0,2550.0,2750.0,Assam,Haibargaon APMC,24.4,94,0.0
Tomato,1750.0,1500.0,2000.0,Tamil Nadu,Ponnamaravathi(Uzhavar Sandhai),24.4,94,0.0
Tomato,1145.0,1140.0,1150.0,Uttar Pradesh,Salon APMC,24.4,94,0.0
Tomato,2700.0,2600.0,2800.0,West Bengal,Darjeeling APMC,24.4,94,0.0
Tomato,1400.0,1300.0,1500.0,Tamil Nadu,Paramathivelur(Uzhavar Sandhai ) APMC,24.4,94,0.0
Tomato,1750.0,1500.0,2000.0,Tamil Nadu,Kumbakonam (Uzhavar Sandhai ) APMC,24.4,94,0.0
Tomato,1200.0,800.0,1600.0,Haryana,Rewari APMC,24.4,94,0.0
Tomato,850.0,700.0,1000.0,Haryana,Panipat APMC,24.4,94,0.0
Tomato,1300.0,1200.0,1500.0,Uttarakhand,Haridwar Union APMC,24.4,94,0.0
Tomato,1300.0,1300.0,1300.0,Rajasthan,Rawatsar APMC,24.4,94,0.0
Tomato,900.0,800.0,1000.0,Rajasthan,Rajsamand APMC,24.4,94,0.0
Tomato,2000.0,1500.0,2200.0,Odisha,Boudh APMC,24.4,94,0.0
Tomato,1800.0,1400.0,2200.0,Haryana,Farukh Nagar APMC,24.4,94,0.0
Tomato,3500.0,3000.0,4000.0,Kerala,Pala APMC,24.4,94,0.0
Tomato,3600.0,3400.0,4000.0,Kerala,Thrippunithura APMC,24.4,94,0.0
Tomato,2800.0,2700.0,2900.0,Himachal Pradesh,SMY Baijnath,24.4,94,0.0
Tomato,3100.0,3000.0,3200.0,Himachal Pradesh,SMY Jaisinghpur,24.4,94,0.0
Tomato,2670.0,2450.0,2930.0,Odisha,Bonai APMC,24.4,94,0.0
Tomato,1250.0,1000.0,1500.0,Tamil Nadu,Sathiyamagalam(Uzhavar Sandhai ) APMC,24.4,94,0.0
Tomato,1800.0,1800.0,1800.0,Tamil Nadu,Ariyalur(Uzhavar Sandhai) APMC,24.4,94,0.0
Tomato,1800.0,1500.0,2000.0,Odisha,Banki APMC,24.4,94,0.0
Tomato,1350.0,1200.0,1500.0,Tamil Nadu,Mettupalayam(Uzhavar Sandhai ) APMC,24.4,94,0.0
Tomato,1500.0,1500.0,1500.0,Tamil Nadu,Chidambaram(Uzhavar Sandhai ) APMC,24.4,94,0.0
Tomato,1300.0,1200.0,1400.0,Tamil Nadu,Periyar Nagar(Uzhavar Sandhai ) APMC,24.4,94,0.0
